{'_id': ObjectId('5b911b5da8c5701960d34659'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:19:41']}
{'_id': ObjectId('5b911b61a8c5701960d3468d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:19:44']}
{'_id': ObjectId('5b911b64a8c5701960d346c1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:19:48']}
{'_id': ObjectId('5b911b68a8c5701960d346f5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:19:52']}
{'_id': ObjectId('5b911b6ba8c5701960d34728'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:19:55']}
{'_id': ObjectId('5b911b70a8c5701960d3475d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:19:59']}
{'_id': ObjectId('5b911b73a8c5701960d34791'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:20:03']}
{'_id': ObjectId('5b911b78a8c5701960d347c5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:20:07']}
{'_id': ObjectId('5b911b7ba8c5701960d347f9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:20:10']}
{'_id': ObjectId('5b911b7ea8c5701960d3482d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:20:14']}
{'_id': ObjectId('5b911b82a8c5701960d34861'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:20:18']}
