{'_id': ObjectId('5be0b678fbc42b079c112686'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -90, 'TIME': ['18:30:33'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b678fbc42b079c112687'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -92, 'TIME': ['18:30:33'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b678fbc42b079c112688'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -96, 'TIME': ['18:30:33'], 'DIST': 141.2537544622754}
{'_id': ObjectId('5be0b678fbc42b079c112689'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -20, 'TIME': ['18:30:33'], 'DIST': 0.0223872113856834}
{'_id': ObjectId('5be0b678fbc42b079c11268a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -36, 'TIME': ['18:30:33'], 'DIST': 0.14125375446227545}
{'_id': ObjectId('5be0b678fbc42b079c11268b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -78, 'TIME': ['18:30:33'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b678fbc42b079c11268c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'a8:7c:01:22:27:56', 'RSSI': -92, 'TIME': ['18:30:33'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b678fbc42b079c11268d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -82, 'TIME': ['18:30:33'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b67cfbc42b079c11268e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -89, 'TIME': ['18:30:36'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be0b67cfbc42b079c11268f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -85, 'TIME': ['18:30:36'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b67cfbc42b079c112690'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -77, 'TIME': ['18:30:36'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0b67cfbc42b079c112691'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -82, 'TIME': ['18:30:36'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b67cfbc42b079c112692'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -91, 'TIME': ['18:30:36'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b67cfbc42b079c112693'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -90, 'TIME': ['18:30:36'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b67cfbc42b079c112694'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -89, 'TIME': ['18:30:36'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be0b67cfbc42b079c112695'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -90, 'TIME': ['18:30:36'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b67cfbc42b079c112696'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -91, 'TIME': ['18:30:36'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b67cfbc42b079c112697'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -16, 'TIME': ['18:30:36'], 'DIST': 0.01412537544622754}
{'_id': ObjectId('5be0b67cfbc42b079c112698'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -37, 'TIME': ['18:30:36'], 'DIST': 0.15848931924611134}
{'_id': ObjectId('5be0b67cfbc42b079c112699'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -78, 'TIME': ['18:30:36'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b67cfbc42b079c11269a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'a8:7c:01:22:27:56', 'RSSI': -92, 'TIME': ['18:30:36'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b67cfbc42b079c11269b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -82, 'TIME': ['18:30:36'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b67cfbc42b079c11269c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '24:f5:aa:69:a4:8a', 'RSSI': -82, 'TIME': ['18:30:36'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b67ffbc42b079c11269d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -95, 'TIME': ['18:30:40'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b67ffbc42b079c11269e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -91, 'TIME': ['18:30:40'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b67ffbc42b079c11269f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -77, 'TIME': ['18:30:40'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0b67ffbc42b079c1126a0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -82, 'TIME': ['18:30:40'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b67ffbc42b079c1126a1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -91, 'TIME': ['18:30:40'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b67ffbc42b079c1126a2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -91, 'TIME': ['18:30:40'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b67ffbc42b079c1126a3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -89, 'TIME': ['18:30:40'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be0b67ffbc42b079c1126a4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -86, 'TIME': ['18:30:40'], 'DIST': 44.6683592150963}
{'_id': ObjectId('5be0b67ffbc42b079c1126a5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -95, 'TIME': ['18:30:40'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b67ffbc42b079c1126a6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -17, 'TIME': ['18:30:40'], 'DIST': 0.015848931924611134}
{'_id': ObjectId('5be0b67ffbc42b079c1126a7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -37, 'TIME': ['18:30:40'], 'DIST': 0.15848931924611134}
{'_id': ObjectId('5be0b67ffbc42b079c1126a8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -78, 'TIME': ['18:30:40'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b67ffbc42b079c1126a9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'a8:7c:01:22:27:56', 'RSSI': -92, 'TIME': ['18:30:40'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b67ffbc42b079c1126aa'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -82, 'TIME': ['18:30:40'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b67ffbc42b079c1126ab'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '24:f5:aa:69:a4:8a', 'RSSI': -82, 'TIME': ['18:30:40'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b682fbc42b079c1126ac'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -95, 'TIME': ['18:30:43'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b682fbc42b079c1126ad'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -50, 'TIME': ['18:30:43'], 'DIST': 0.7079457843841379}
{'_id': ObjectId('5be0b682fbc42b079c1126ae'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -76, 'TIME': ['18:30:43'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0b682fbc42b079c1126af'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -82, 'TIME': ['18:30:43'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b682fbc42b079c1126b0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -91, 'TIME': ['18:30:43'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b682fbc42b079c1126b1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -91, 'TIME': ['18:30:43'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b682fbc42b079c1126b2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -91, 'TIME': ['18:30:43'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b682fbc42b079c1126b3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -90, 'TIME': ['18:30:43'], 'DIST': 70.79457843841381}
