{'_id': ObjectId('5be0bdf2fbc42b0a26e9bff8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:25'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bdf5fbc42b0a26e9c010'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:29'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bdf9fbc42b0a26e9c028'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:32'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bdfcfbc42b0a26e9c040'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:35'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bdfffbc42b0a26e9c058'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:39'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0be03fbc42b0a26e9c070'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:42'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0be06fbc42b0a26e9c088'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:45'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0be09fbc42b0a26e9c0a0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:49'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0be0dfbc42b0a26e9c0b8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:52'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0be10fbc42b0a26e9c0d0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['19:02:56'], 'DIST': 15.848931924611133}
