{'_id': ObjectId('5be058a9fbc42b1681f1983a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -84, 'TIME': ['11:50:17'], 'DIST': 35.48133892335755}
{'_id': ObjectId('5be058acfbc42b1681f1984c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:20'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058affbc42b1681f1985e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:23'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058b3fbc42b1681f19870'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:27'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058b6fbc42b1681f19882'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:30'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058b9fbc42b1681f19894'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:33'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058bdfbc42b1681f198a6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:37'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058c0fbc42b1681f198b8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:40'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058c3fbc42b1681f198ca'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:43'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058c7fbc42b1681f198dc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:47'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058cafbc42b1681f198ee'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:50'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058cdfbc42b1681f19900'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:53'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058d1fbc42b1681f19912'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:50:57'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058d4fbc42b1681f19924'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:00'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058d8fbc42b1681f19937'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:04'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058dbfbc42b1681f1994a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:07'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058defbc42b1681f1995d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:10'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058e2fbc42b1681f19970'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:14'], 'DIST': 12.589254117941675}
