{'_id': ObjectId('5be05555fbc42b1464ccefac'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -95, 'TIME': ['11:36:05'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be05555fbc42b1464ccefad'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -80, 'TIME': ['11:36:05'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be05555fbc42b1464ccefae'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -60, 'TIME': ['11:36:05'], 'DIST': 2.2387211385683394}
{'_id': ObjectId('5be05555fbc42b1464ccefaf'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -35, 'TIME': ['11:36:05'], 'DIST': 0.12589254117941673}
{'_id': ObjectId('5be05555fbc42b1464ccefb0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -82, 'TIME': ['11:36:05'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be05558fbc42b1464ccefb1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -87, 'TIME': ['11:36:08'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be05558fbc42b1464ccefb2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -95, 'TIME': ['11:36:08'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be05558fbc42b1464ccefb3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -70, 'TIME': ['11:36:08'], 'DIST': 7.079457843841379}
{'_id': ObjectId('5be05558fbc42b1464ccefb4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -75, 'TIME': ['11:36:08'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be05558fbc42b1464ccefb5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -92, 'TIME': ['11:36:08'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be05558fbc42b1464ccefb6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -93, 'TIME': ['11:36:08'], 'DIST': 100.0}
{'_id': ObjectId('5be05558fbc42b1464ccefb7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -93, 'TIME': ['11:36:08'], 'DIST': 100.0}
{'_id': ObjectId('5be05558fbc42b1464ccefb8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -80, 'TIME': ['11:36:08'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be05558fbc42b1464ccefb9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -59, 'TIME': ['11:36:08'], 'DIST': 1.9952623149688795}
{'_id': ObjectId('5be05558fbc42b1464ccefba'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -35, 'TIME': ['11:36:08'], 'DIST': 0.12589254117941673}
{'_id': ObjectId('5be05558fbc42b1464ccefbb'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -80, 'TIME': ['11:36:08'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0555cfbc42b1464ccefbc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -88, 'TIME': ['11:36:12'], 'DIST': 56.23413251903491}
