{'_id': ObjectId('5be0b717fbc42b079c112a32'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['18:33:11'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0b71bfbc42b079c112a49'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:33:15'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b71efbc42b079c112a61'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:33:18'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b721fbc42b079c112a79'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:33:21'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b725fbc42b079c112a91'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -72, 'TIME': ['18:33:25'], 'DIST': 8.912509381337454}
{'_id': ObjectId('5be0b728fbc42b079c112aa9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -72, 'TIME': ['18:33:28'], 'DIST': 8.912509381337454}
{'_id': ObjectId('5be0b72cfbc42b079c112ac1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -72, 'TIME': ['18:33:31'], 'DIST': 8.912509381337454}
{'_id': ObjectId('5be0b72ffbc42b079c112ad9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -72, 'TIME': ['18:33:35'], 'DIST': 8.912509381337454}
{'_id': ObjectId('5be0b736fbc42b079c112af1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:33:42'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b739fbc42b079c112b09'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:33:45'], 'DIST': 12.589254117941675}
